epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,39.5095,0.73072,1.70893,0.93391,0.97614,0.95794,0.97765,0.83962,0.70948,1.73521,0.97687,0.000990365,0.000990365,0.000990365
43,40.3297,0.74091,1.69436,0.94495,0.98572,0.9489,0.98376,0.84049,0.70557,1.69071,0.97694,0.000973861,0.000973861,0.000973861
44,41.2837,0.72505,1.65088,0.94827,0.98072,0.95102,0.98513,0.84369,0.69585,1.69865,0.98337,0.000957358,0.000957358,0.000957358
45,42.1862,0.7249,1.67889,0.93766,0.98028,0.94873,0.98351,0.837,0.7033,1.70901,0.99183,0.000940855,0.000940855,0.000940855
46,43.0158,0.7098,1.6315,0.93143,0.98386,0.94909,0.98211,0.83901,0.71304,1.68491,0.99747,0.000924352,0.000924352,0.000924352
47,43.8597,0.73097,1.67959,0.94853,0.98729,0.94879,0.9812,0.85391,0.69238,1.63649,0.98967,0.000907848,0.000907848,0.000907848
48,44.7821,0.72861,1.65794,0.92878,0.99024,0.95093,0.97607,0.85135,0.67623,1.61422,0.98031,0.000891345,0.000891345,0.000891345
49,45.6119,0.75158,1.69844,0.95397,0.98107,0.95788,0.97514,0.84037,0.68027,1.59658,0.97727,0.000874842,0.000874842,0.000874842
50,46.4006,0.70849,1.61638,0.94654,0.98013,0.95656,0.97525,0.83487,0.67764,1.58937,0.97706,0.000858338,0.000858338,0.000858338
51,47.2162,0.70475,1.56798,0.92894,0.98478,0.95656,0.9769,0.84076,0.67925,1.59668,0.98087,0.000841835,0.000841835,0.000841835
52,48.0292,0.69562,1.57941,0.93396,0.97539,0.96017,0.98018,0.84189,0.72012,1.63593,0.99161,0.000825332,0.000825332,0.000825332
53,48.843,0.71411,1.61055,0.94571,0.97482,0.96043,0.98004,0.83192,0.71571,1.61296,0.99076,0.000808828,0.000808828,0.000808828
54,49.6333,0.70445,1.60382,0.93327,0.97655,0.96028,0.98123,0.83977,0.68371,1.55707,0.98424,0.000792325,0.000792325,0.000792325
55,50.4641,0.70612,1.58864,0.93129,0.97543,0.96017,0.97917,0.84701,0.67735,1.5435,0.98354,0.000775822,0.000775822,0.000775822
56,51.341,0.71057,1.59425,0.93736,0.97541,0.95979,0.97553,0.84572,0.66793,1.53086,0.98334,0.000759318,0.000759318,0.000759318
57,52.1282,0.68659,1.54484,0.93637,0.97083,0.9636,0.97521,0.85359,0.67166,1.52902,0.98218,0.000742815,0.000742815,0.000742815
58,52.9286,0.71641,1.59253,0.93933,0.97608,0.96237,0.97993,0.85581,0.67602,1.54097,0.98053,0.000726312,0.000726312,0.000726312
59,53.8211,0.68884,1.53223,0.92971,0.97926,0.9589,0.97657,0.85439,0.67541,1.54209,0.97995,0.000709809,0.000709809,0.000709809
60,54.668,0.72912,1.66631,0.96336,0.97184,0.96527,0.97785,0.85069,0.66914,1.5217,0.98319,0.000693305,0.000693305,0.000693305
61,55.4998,0.69507,1.56785,0.93272,0.972,0.96559,0.97654,0.84558,0.67246,1.53055,0.98112,0.000676802,0.000676802,0.000676802
62,56.3287,0.70145,1.57002,0.9396,0.97397,0.9636,0.97638,0.8463,0.67134,1.52921,0.97905,0.000660299,0.000660299,0.000660299
63,57.1348,0.70984,1.56182,0.93113,0.97444,0.96501,0.97783,0.84817,0.66347,1.52187,0.9782,0.000643795,0.000643795,0.000643795
64,57.9886,0.68347,1.53965,0.92604,0.97384,0.96352,0.97809,0.8545,0.66653,1.50975,0.97974,0.000627292,0.000627292,0.000627292
65,58.8024,0.69189,1.53316,0.92248,0.97736,0.95788,0.97723,0.85111,0.66171,1.51218,0.97777,0.000610789,0.000610789,0.000610789
66,59.5952,0.69329,1.51341,0.93069,0.98157,0.95621,0.97723,0.85528,0.6554,1.5165,0.97472,0.000594286,0.000594286,0.000594286
67,60.4435,0.6865,1.52173,0.9404,0.98159,0.95676,0.97773,0.85489,0.66607,1.54057,0.9784,0.000577782,0.000577782,0.000577782
68,61.2912,0.67921,1.49038,0.91912,0.97672,0.95916,0.97809,0.85785,0.65918,1.49834,0.97767,0.000561279,0.000561279,0.000561279
69,62.1949,0.6965,1.52893,0.93709,0.97802,0.96017,0.97879,0.85954,0.67471,1.49218,0.98117,0.000544776,0.000544776,0.000544776
70,63.1187,0.66513,1.47768,0.91239,0.97787,0.96123,0.97965,0.8597,0.66557,1.47423,0.97745,0.000528272,0.000528272,0.000528272
71,64.0096,0.67731,1.48895,0.93249,0.97654,0.96271,0.97952,0.85585,0.65646,1.47665,0.97416,0.000511769,0.000511769,0.000511769
72,64.8681,0.69631,1.52182,0.9279,0.98281,0.9613,0.97982,0.86258,0.6735,1.50799,0.9759,0.000495266,0.000495266,0.000495266
73,65.7385,0.67401,1.51651,0.92929,0.98233,0.96132,0.97951,0.86354,0.67672,1.5296,0.97485,0.000478762,0.000478762,0.000478762
74,66.648,0.67806,1.50943,0.92526,0.98053,0.95901,0.97866,0.86029,0.6684,1.51556,0.97193,0.000462259,0.000462259,0.000462259
75,67.5106,0.65616,1.46744,0.91246,0.97992,0.96017,0.97871,0.85292,0.65375,1.47747,0.96534,0.000445756,0.000445756,0.000445756
76,68.33,0.67515,1.48525,0.91284,0.97792,0.96132,0.97872,0.86126,0.66098,1.45133,0.96505,0.000429253,0.000429253,0.000429253
77,69.1337,0.65454,1.44579,0.92123,0.97797,0.96027,0.97888,0.86857,0.65251,1.44415,0.96105,0.000412749,0.000412749,0.000412749
78,69.9944,0.66189,1.46752,0.92763,0.97465,0.9616,0.97784,0.86268,0.65411,1.45102,0.96145,0.000396246,0.000396246,0.000396246
79,70.8849,0.67037,1.46232,0.93392,0.97477,0.9625,0.97779,0.86151,0.65443,1.44418,0.96169,0.000379743,0.000379743,0.000379743
80,71.7432,0.67048,1.46421,0.93448,0.98071,0.96017,0.97765,0.85982,0.65165,1.43719,0.96394,0.000363239,0.000363239,0.000363239
81,72.5469,0.657,1.43727,0.91672,0.98067,0.96017,0.97746,0.86152,0.65208,1.4596,0.96701,0.000346736,0.000346736,0.000346736
82,73.3353,0.66682,1.46416,0.91505,0.97813,0.96017,0.97825,0.85511,0.65504,1.478,0.97041,0.000330233,0.000330233,0.000330233
83,74.1896,0.64627,1.41642,0.90756,0.97778,0.95696,0.97864,0.85581,0.65622,1.47684,0.9735,0.000313729,0.000313729,0.000313729
84,74.9807,0.67159,1.46269,0.92409,0.9808,0.95333,0.97854,0.85273,0.66047,1.46008,0.97687,0.000297226,0.000297226,0.000297226
85,75.7994,0.64732,1.44494,0.91447,0.981,0.95331,0.97926,0.8577,0.66141,1.45216,0.97879,0.000280723,0.000280723,0.000280723
86,76.6444,0.65206,1.43865,0.92514,0.98278,0.95436,0.97975,0.86136,0.66097,1.44212,0.9799,0.00026422,0.00026422,0.00026422
87,77.4369,0.65928,1.43172,0.91931,0.98224,0.95711,0.97937,0.85977,0.65168,1.42086,0.97712,0.000247716,0.000247716,0.000247716
88,78.2683,0.66094,1.45463,0.93005,0.97684,0.96132,0.98014,0.87559,0.64317,1.37669,0.9728,0.000231213,0.000231213,0.000231213
89,79.19,0.6679,1.42983,0.9121,0.97798,0.95939,0.98006,0.87129,0.64525,1.39233,0.97182,0.00021471,0.00021471,0.00021471
90,79.99,0.64403,1.41025,0.91152,0.97562,0.95809,0.98041,0.88076,0.64783,1.40258,0.96993,0.000198206,0.000198206,0.000198206
91,82.1126,0.63474,1.54977,0.91076,0.9768,0.95925,0.98092,0.88033,0.65074,1.40472,0.96855,0.000181703,0.000181703,0.000181703
92,82.9748,0.62382,1.48013,0.92342,0.97734,0.95674,0.97923,0.86995,0.65759,1.41671,0.96759,0.0001652,0.0001652,0.0001652
93,83.7832,0.6359,1.43757,0.90183,0.98049,0.95761,0.97801,0.86756,0.65879,1.41251,0.9681,0.000148696,0.000148696,0.000148696
94,84.5959,0.60829,1.37916,0.89496,0.98064,0.95764,0.9774,0.87185,0.65786,1.40926,0.96868,0.000132193,0.000132193,0.000132193
95,85.4012,0.6173,1.37322,0.90182,0.98136,0.95788,0.97637,0.86784,0.65608,1.40842,0.96852,0.00011569,0.00011569,0.00011569
96,86.3052,0.61105,1.37145,0.90427,0.98228,0.95458,0.97562,0.86132,0.64996,1.39819,0.96817,9.91865e-05,9.91865e-05,9.91865e-05
97,87.1696,0.62118,1.36475,0.90627,0.98246,0.95731,0.97557,0.86159,0.64656,1.40216,0.96794,8.26832e-05,8.26832e-05,8.26832e-05
98,87.9783,0.60355,1.35012,0.90167,0.98234,0.95788,0.97581,0.86274,0.64376,1.40373,0.96752,6.61799e-05,6.61799e-05,6.61799e-05
99,88.7927,0.63257,1.3972,0.93695,0.98135,0.95788,0.97593,0.86755,0.64085,1.39734,0.9669,4.96766e-05,4.96766e-05,4.96766e-05
100,89.6071,0.61239,1.34662,0.91976,0.98219,0.95823,0.97615,0.86961,0.63728,1.38216,0.96629,3.31733e-05,3.31733e-05,3.31733e-05
